# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Projetos_Altera\altera_trn\DE0_NIOS_SDCARD\DE0_TOP.csv
# Generated on: Fri Oct 21 16:11:27 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
BUTTON[2],Input,PIN_F1,1,B1_N0,PIN_F1,3.3-V LVTTL,,,,
BUTTON[1],Input,PIN_G3,1,B1_N0,PIN_G3,3.3-V LVTTL,,,,
BUTTON[0],Input,PIN_H2,1,B1_N1,PIN_H2,3.3-V LVTTL,,,,
CLOCK_50,Input,PIN_G21,6,B6_N1,PIN_G21,3.3-V LVTTL,,,,
CLOCK_50_2,Input,PIN_B12,7,B7_N1,PIN_B12,3.3-V LVTTL,,,,
DRAM_ADDR[12],Output,PIN_C8,8,B8_N0,PIN_C8,3.3-V LVTTL,,,,
DRAM_ADDR[11],Output,PIN_A7,8,B8_N0,PIN_A7,3.3-V LVTTL,,,,
DRAM_ADDR[10],Output,PIN_B4,8,B8_N1,PIN_B4,3.3-V LVTTL,,,,
DRAM_ADDR[9],Output,PIN_B7,8,B8_N0,PIN_B7,3.3-V LVTTL,,,,
DRAM_ADDR[8],Output,PIN_C7,8,B8_N0,PIN_C7,3.3-V LVTTL,,,,
DRAM_ADDR[7],Output,PIN_A6,8,B8_N0,PIN_A6,3.3-V LVTTL,,,,
DRAM_ADDR[6],Output,PIN_B6,8,B8_N0,PIN_B6,3.3-V LVTTL,,,,
DRAM_ADDR[5],Output,PIN_C6,8,B8_N1,PIN_C6,3.3-V LVTTL,,,,
DRAM_ADDR[4],Output,PIN_A5,8,B8_N0,PIN_A5,3.3-V LVTTL,,,,
DRAM_ADDR[3],Output,PIN_C3,8,B8_N1,PIN_C3,3.3-V LVTTL,,,,
DRAM_ADDR[2],Output,PIN_B3,8,B8_N1,PIN_B3,3.3-V LVTTL,,,,
DRAM_ADDR[1],Output,PIN_A3,8,B8_N1,PIN_A3,3.3-V LVTTL,,,,
DRAM_ADDR[0],Output,PIN_C4,8,B8_N1,PIN_C4,3.3-V LVTTL,,,,
DRAM_BA_0,Output,PIN_B5,8,B8_N1,PIN_B5,3.3-V LVTTL,,,,
DRAM_BA_1,Output,PIN_A4,8,B8_N1,PIN_A4,3.3-V LVTTL,,,,
DRAM_CAS_N,Output,PIN_G8,8,B8_N1,PIN_G8,3.3-V LVTTL,,,,
DRAM_CKE,Output,PIN_E6,8,B8_N1,PIN_E6,3.3-V LVTTL,,,,
DRAM_CLK,Output,PIN_E5,8,B8_N1,PIN_E5,3.3-V LVTTL,,,,
DRAM_CS_N,Output,PIN_G7,8,B8_N1,PIN_G7,3.3-V LVTTL,,,,
DRAM_DQ[15],Bidir,PIN_F10,8,B8_N1,PIN_F10,3.3-V LVTTL,,,,
DRAM_DQ[14],Bidir,PIN_E10,8,B8_N0,PIN_E10,3.3-V LVTTL,,,,
DRAM_DQ[13],Bidir,PIN_A10,8,B8_N0,PIN_A10,3.3-V LVTTL,,,,
DRAM_DQ[12],Bidir,PIN_B10,8,B8_N0,PIN_B10,3.3-V LVTTL,,,,
DRAM_DQ[11],Bidir,PIN_C10,8,B8_N0,PIN_C10,3.3-V LVTTL,,,,
DRAM_DQ[10],Bidir,PIN_A9,8,B8_N0,PIN_A9,3.3-V LVTTL,,,,
DRAM_DQ[9],Bidir,PIN_B9,8,B8_N0,PIN_B9,3.3-V LVTTL,,,,
DRAM_DQ[8],Bidir,PIN_A8,8,B8_N0,PIN_A8,3.3-V LVTTL,,,,
DRAM_DQ[7],Bidir,PIN_F8,8,B8_N1,PIN_F8,3.3-V LVTTL,,,,
DRAM_DQ[6],Bidir,PIN_H9,8,B8_N0,PIN_H9,3.3-V LVTTL,,,,
DRAM_DQ[5],Bidir,PIN_G9,8,B8_N0,PIN_G9,3.3-V LVTTL,,,,
DRAM_DQ[4],Bidir,PIN_F9,8,B8_N1,PIN_F9,3.3-V LVTTL,,,,
DRAM_DQ[3],Bidir,PIN_E9,8,B8_N0,PIN_E9,3.3-V LVTTL,,,,
DRAM_DQ[2],Bidir,PIN_H10,8,B8_N0,PIN_H10,3.3-V LVTTL,,,,
DRAM_DQ[1],Bidir,PIN_G10,8,B8_N0,PIN_G10,3.3-V LVTTL,,,,
DRAM_DQ[0],Bidir,PIN_D10,8,B8_N0,PIN_D10,3.3-V LVTTL,,,,
DRAM_LDQM,Output,PIN_E7,8,B8_N1,PIN_E7,3.3-V LVTTL,,,,
